Designator,Mid X,Mid Y,Rotation,Layer
C1,18.25,9.25,270,top
C10,6.25,-3.5,180,top
C11,18.5,-22.5,180,bottom
C12,23.75,-19.5,180,bottom
C13,26.5,16,0,bottom
C2,10.25,9.25,270,top
C3,-18,-18.5,180,bottom
C4,-18.5,-22.5,0,bottom
C5,-23.75,-19.5,0,bottom
C9,15.75,21.4,270,top
CN1,-10.5,16.855,0,top
CN2,-10.5,6.855,0,top
CN3,-10.5,-3.145,0,top
CN4,14.06,0.75,0,top
D1,13,21.75,270,top
J2,3.71,0.77,0,top
J3,1,-23.5,180,top
J4,0,-18,0,top
J6,21.025,19.05,90,top
L1,3.75,22.75,90,top
L2,7,22.75,90,top
L3,10.25,22.75,90,top
R1,13.925,3.25,0,bottom
R12,15.5,17.25,90,top
R13,23.5,20,90,bottom
R2,23.5,16.5,90,bottom
R3,-21.5,16.5,270,bottom
R4,3.75,19,90,top
R5,7,19,90,top
R6,10.25,19,90,top
R7,-21.5,20,90,bottom
R9,13.6,17.25,90,top
SW1,10.5,-14.5,90,top
SW2,-10.5,-14.5,90,top
SW3,4,8.5,0,top
SW4,3.5,14.5,0,top
SW5,14,-6.95,0,top
T1,-11,-26,0,top
T2,11,-26,0,top
T3,0,-26,0,top
U1,4.96,-7.75,180,bottom
U2,-10.5,2.855,0,bottom
U4,23,-0.5,90,bottom
U5,-23,-0.5,270,bottom
U6,14.25,9.25,180,top
U7,9.25,14.71,270,bottom
P1,-18.12,2.85,90,bottom
P2,-2.88,2.85,90,bottom
